"List.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier","Identifier for the List assigned for business purposes outside the context of FHIR.","","","","","","","","","",,,,,"",,,,"List.identifier",0,*,"","",".id","id"
"List.identifier.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"List.identifier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"List.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | secondary (If known)","The purpose of this identifier.","This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use","",,,,"Identifier.use",0,1,"","","Role.code or implied by context"
"List.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Description of identifier","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage. 

Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","http://hl7.org/fhir/ValueSet/identifier-type","",,,,"Identifier.type",0,1,"","","Role.code or implied by context"
"List.identifier.system","","","",1,1,"","","Y","uri {[]} {[]}
","The namespace for the identifier value","Establishes the namespace for the value - that is, a URL that describes a set values that are unique.","","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","","II.root or Role.id.root"
"List.identifier.value","","","",1,1,"","","Y","string {[]} {[]}
","The value that is unique","The portion of the identifier typically relevant to the user and which is unique within the context of the system.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](http://hl7.org/fhir/STU3/extension-rendered-value.html).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"","","II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)"
"List.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","","Role.effectiveTime or implied by context"
"List.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Organization-1]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","","II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper"
"List.status","","","",1,1,"","Y","Y","code {[]} {[]}
","current | retired | entered-in-error","Indicates the current state of this list.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","","","","","","","","",,"required","The current state of the list","http://hl7.org/fhir/ValueSet/list-status","",,,,"List.status",1,1,"","",".status[current=active;retired=obsolete;entered-in-error=nullified]","status"
"List.mode","","","",1,1,"","Y","Y","code {[]} {[]}
","working | snapshot | changes","How this list was prepared - whether it is a working list that is suitable for being maintained on an ongoing basis, or if it represents a snapshot of a list of items from another source, or whether it is a prepared list where items may be marked as added, modified or deleted.","This element is labeled as a modifier because a change list must not be mis-understood as a complete list.","Lists are used in various ways, and it must be known in what way it is safe to use them.","","","","","","","",,"required","The processing mode that applies to this list","http://hl7.org/fhir/ValueSet/list-mode","",,,,"List.mode",1,1,"","",".outBoundRelationship[typeCode=COMP].target[classCode=OBS""].value","class"
"List.title","","","",0,1,"","","Y","string {[]} {[]}
","Descriptive name for the list","A label for the list assigned by the author.","","Allows customization beyond just the code identifying the kind of list.","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Dr. Jane&#39;s Patients""/>","","",,,,,"",,,,"List.title",0,1,"","",".title"
"List.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","What the purpose of this list is","This code defines the purpose of the list - why it was created.","If there is no code, the purpose of the list is implied where it is used, such as in a document section using Document.section.code.","Lists often contain subsets of resources rather than an exhaustive list.  The code identifies what type of subset is included.","","","","","","","",,"preferred","","https://fhir.hl7.org.uk/STU3/ValueSet/CareConnect-ListCode-1","",,,,"List.code",0,1,"","",".code","what"
"List.subject","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Group], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Patient-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Location-1]]}
","If all resources have the same subject","The common subject (or patient) of the resources that are in the list, if there is one.","Some purely arbitrary lists do not have a common subject, so this is optional.","The primary purpose of listing the subject explicitly is to help with finding the right list.","","","","","","","",,,,,"",,,,"List.subject",0,1,"","",".participation[typeCode<SUB].role (and sometimes .player)","who.focus"
"List.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Encounter-1]]}
","Context in which list created","The encounter that is the context in which this list was created.","","","","","","","","","",,,,,"",,,,"List.encounter",0,1,"","","inboundRelationship[typeCode=COMP].source[classCode=ENC, moodCode=EVN]","context"
"List.date","","","",0,1,"","","Y","dateTime {[]} {[]}
","When the list was prepared","The date that the list was prepared.","The actual important date is the date of currency of the resources that were summarized, but it is usually assumed that these are current when the preparation occurs.","Identifies how current the list is which affects relevance.","","","","","","","",,,,,"",,,,"List.date",0,1,"","",".participation[typeCode<AUT].time[type=TS]","when.recorded"
"List.source","","Author
","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Patient-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Practitioner-1]]}
","Who and/or what defined the list contents (aka Author)","The entity responsible for deciding what the contents of the list were. Where the list was created by a human, this is the same as the author of the list.","The primary source is the entity that made the decisions what items are in the list. This may be software or user.","Allows follow-up as well as context.","","","","","","","",,,,,"",,,,"List.source",0,1,"","",".participation[typeCode<AUT].role[classCode=REL].player[classCode=PSN,determinerCode=INST] or .participation[typeCode<AUT].role[classCode=REL].player[classCode=DEV,determinerCode=INST]","who.author"
"List.orderedBy","","","",0,1,"","","","CodeableConcept {[]} {[]}
","What order the list has","What order applies to the items in the list.","Applications SHOULD render ordered lists in the order provided, but MAY allow users to re-order based on their own preferences as well. If there is no order specified, the order is unknown, though there may still be some order.","Important for presentation and rendering.  Lists may be sorted to place more important information first or to group related entries.","","","","","","","",,"preferred","What order applies to the items in a list","http://hl7.org/fhir/ValueSet/list-order","",,,,"List.orderedBy",0,1,"","",".outboundRelationship[typeCode=COMP].sequenceNumber > 1"
"List.note","","","",0,*,"","","","Annotation {[]} {[]}
","Comments about the list","Comments that apply to the overall list.","","","","","","","","","",,,,,"",,,,"List.note",0,*,"","",".inboundRelationship[typeCode=SUBJ].act.text"
"List.note.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"List.note.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"List.note.author[x]","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Patient-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Practitioner-1]]}
string {[]} {[]}","Individual responsible for the annotation","The individual responsible for making the annotation.","","","","","","","","","",,,,,"",,,,"Annotation.author[x]",0,1,"","","Act.participant[typeCode=AUT].role"
"List.note.time","","","",0,1,"","","Y","dateTime {[]} {[]}
","When the annotation was made","Indicates when this particular annotation was made.","","","","","","","","","",,,,,"",,,,"Annotation.time",0,1,"","","Act.effectiveTime"
"List.note.text","","","",1,1,"","","","string {[]} {[]}
","The annotation  - text content","The text of the annotation.","","","","","","","","","",,,,,"",,,,"Annotation.text",1,1,"","","Act.text"
"List.entry","","","",0,*,"","","","BackboneElement {[]} {[]}
","Entries in the list","Entries in this list.","If there are no entries in the list, an emptyReason SHOULD be provided.","","","","","","","","",,,,,"",,,,"List.entry",0,*,"lst-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
",".outboundRelationship[typeCode=COMP] or  .participation[typeCode=SBJ]"
"List.entry.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"List.entry.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"List.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"List.entry.flag","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Status/Workflow information about this item","The flag allows the system constructing the list to indicate the role and significance of the item in the list.","The flag can only be understood in the context of the List.code. If the flag means that the entry has actually been deleted from the list, the deleted element SHALL be true. Deleted can only be used if the List.mode is ""changes"".","This field is present to support various clinical uses of lists, such as a discharge summary medication list, where flags specify whether the medication was added, modified, or deleted from the list.","","","","","","","",,"example","Codes that provide further information about the reason and meaning of the item in the list","http://hl7.org/fhir/ValueSet/list-item-flag","",,,,"List.entry.flag",0,1,"","",".outBoundRelationship[typeCode=COMP].target[classCode=OBS""].value"
"List.entry.deleted","","","",0,1,"","Y","","boolean {[]} {[]}
","If this item is actually marked as deleted","True if this item is marked as deleted in the list.","If the flag means that the entry has actually been deleted from the list, the deleted element SHALL be true. Both flag and deleted can only be used if the List.mode is ""changes"". A deleted entry should be displayed in narrative as deleted.

This element is labeled as a modifier because it indicates that an item is (to be) no longer in the list.","The flag element may contain codes that an application processing the list does not understand. However there can be no ambiguity if a list item is actually marked as ""deleted"".","<valueBoolean xmlns=""http://hl7.org/fhir"" value=""false""/>","","","","","","",,,,,"",,,,"List.entry.deleted",0,1,"lst-2
","","added: .updateMode=(""A"",""AR"")  retained: .updateMode=""NC""  updated: .updateMode=""R""  deleted: .updateMode=""D"""
"List.entry.date","","","",0,1,"","","","dateTime {[]} {[]}
","When item added to list","When this item was added to the list.","This is only useful and meaningful when the mode is ""working"".","The date may be significant for understanding the meaning of items in a working list.","","","","","","","",,,,,"",,,,"List.entry.date",0,1,"","",".availabilityTime"
"List.entry.item","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Actual entry","A reference to the actual resource from which data was derived.","","","","","","","","","",,,,,"",,,,"List.entry.item",1,1,"","",".target or .role or .role.entity"
"List.emptyReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Why list is empty","If the list is empty, why the list is empty.","The various reasons for an empty list make a significant interpretation to its interpretation. Note that this code is for use when the entire list has been suppressed, and not for when individual items are omitted - implementers may consider using a text note or a flag on an entry in these cases.","Allows capturing things like ""none exist"" or ""not asked"" which can be important for most lists.","","","","","","","",,"preferred","","https://fhir.hl7.org.uk/STU3/ValueSet/CareConnect-ListEmptyReasonCode-1","",,,,"List.emptyReason",0,1,"lst-1
","",".inboundRelationship[typeCode=SUBJ,code<{ListEmptyReason}].value[type=CD]"
